locale,slug,reason,word_count,title
en,bjj-absolute-division-bjj,doubled-bjj-suffix,1284,"Absolute Division Strategy"
en,bjj-active-recovery-bjj,doubled-bjj-suffix,1212,"Active Recovery Techniques"
en,bjj-adaptation-bjj,doubled-bjj-suffix,1257,"Adaptation in BJJ Training"
en,bjj-advantage-system-bjj,doubled-bjj-suffix,1542,"Advantage System in BJJ | IBJJF"
en,bjj-after-competition-bjj,doubled-bjj-suffix,1159,"Post-Competition Analysis"
en,bjj-analyzing-tape-bjj,doubled-bjj-suffix,1226,"Analyzing Your Own Footage"
en,bjj-arm-collection-bjj,doubled-bjj-suffix,1297,"Arm Collection Techniques"
en,bjj-arm-control-bjj,doubled-bjj-suffix,1257,"Arm Control Principles"
en,bjj-armbar-details-bjj,doubled-bjj-suffix,1152,"Armbar Finishing Details"
en,bjj-armpit-control-bjj,doubled-bjj-suffix,1267,"Armpit Control Technique Guide"
en,bjj-athlete-mindset,soft-topic:mindset,991,"BJJ Athlete Mindset: Train Like the Champions Do | BJJ App Wiki"
en,bjj-balance-in-bjj,doubled-bjj-suffix,1192,"Balance Development in BJJ"
en,bjj-balance-training-bjj,doubled-bjj-suffix,1045,"Balance & Coordination Training for BJJ"
en,bjj-balloon-sweep-bjj,doubled-bjj-suffix,1233,"Balloon Sweep (Sumi Gaeshi)"
en,bjj-base-in-bjj,doubled-bjj-suffix,1598,"Base in BJJ | Stability Fundamentals"
en,bjj-beginner-mind-bjj,doubled-bjj-suffix,1447,"Beginner Mind in BJJ"
en,bjj-between-matches-bjj,doubled-bjj-suffix,1121,"Managing Between Matches"
en,bjj-black-belt-mindset,soft-topic:mindset,1556,"BJJ Black Belt Mindset: What It Takes and What It Really Means"
en,bjj-body-mechanic-bjj,doubled-bjj-suffix,1402,"Body Mechanics in BJJ"
en,bjj-breakdown-technique-bjj,doubled-bjj-suffix,1282,"Breaking Down Techniques"
en,bjj-breath-control-bjj,doubled-bjj-suffix,948,"Breathing & Breath Control in BJJ Competition"
