slug,severity,title,title_english,h1,h1_english,desc,desc_english
athlete-buchecha,INFO,Marcus Buchecha Almeida | BJJ Wiki,"Marcus,Buchecha,Almeida",Marcus Buchecha Almeida,"Marcus,Buchecha,Almeida",Marcus ,Marcus
bjj-ashi-garami-defense,CRITICAL,Defesa de Ashi Garami | BJJ Wiki,Garami,Defendendo o Ashi Garami,"Defendendo,Garami",Domine as defesas de ashi garami com escapes e contra-ataques de chave de perna. Saiba como se livrar dessa posição.,"defesas,garami,escapes,contra,ataques"
bjj-baseball-choke-details,CRITICAL,Baseball Choke: Detalhes | BJJ Wiki,"Baseball,Choke,Detalhes",Detalhes do Baseball Choke,"Detalhes,Baseball,Choke",Aprenda todos os detalhes da técnica de Baseball Choke no Jiu Jitsu Brasileiro. Descubra como aplicá-la e se defender de,"Aprenda,todos,detalhes,Baseball,Choke"
bjj-between-matches-bjj,CRITICAL,Gerenciando Energia Entre Lutas | BJJ Wiki,"Gerenciando,Energia,Entre,Lutas",Gerenciando Energia Entre Lutas,"Gerenciando,Energia,Entre,Lutas","Estratégias essenciais para otimizar sua energia e recuperação entre as lutas de Jiu Jitsu, garantindo foco e desempenho","essenciais,otimizar,energia,entre,lutas"
bjj-bicep-cutter-guard,CRITICAL,Bicep Cutter | BJJ Wiki,"Bicep,Cutter",Bicep Cutter,"Bicep,Cutter","Aprenda a Bicep Cutter, uma variação de finalização do jiu-jitsu brasileiro que permite controlar e finalizar o oponente","Aprenda,Bicep,Cutter,brasileiro,permite"
bjj-bow-arrow-details,CRITICAL,Arco e Flecha | BJJ Wiki,Flecha,Arco e Flecha,Flecha,"Aprenda os detalhes e mecânicas do estrangulamento Arco e Flecha, uma finalização eficaz no Jiu-Jitsu Brasileiro.","Aprenda,detalhes,estrangulamento,Flecha,eficaz"
bjj-brabo-choke-guide,CRITICAL,Choke Brabo: Side Control e Entradas | BJJ Wiki,"Choke,Brabo,Control,Entradas",Choke Brabo: Side Control e Entradas,"Choke,Brabo,Control,Entradas",Aprenda a dominar o Choke Brabo a partir do Side Control e suas principais entradas. Guia completo para aprimorar sua té,"Aprenda,dominar,Choke,Brabo,partir"
bjj-can-opener-guide,CRITICAL,Can Opener | BJJ Wiki,Opener,Can Opener: Guia Completo,"Opener,Completo","Domine o Can Opener: aprenda a quebrar a guarda, variações e como se defender dessa poderosa finalização.","Opener,aprenda,quebrar,defender,dessa"
bjj-carlos-gracie-legacy,CRITICAL,Legado Carlos Gracie | BJJ Wiki,"Legado,Carlos",Legado de Carlos Gracie,"Legado,Carlos","Explore o legado de Carlos Gracie: ensino sistemático, domínio competitivo e a fundação da BJJ moderna.","Explore,legado,Carlos,ensino,competitivo"
bjj-collar-tie-system,CRITICAL,Collar Tie: Clinch Antigo | BJJ Wiki,"Collar,Clinch,Antigo",Domine o Collar Tie,Collar,"Domine o sistema de controle collar tie. Aprenda a preparação, controle dominante e opções de queda.","sistema,controle,collar,Aprenda,controle"
bjj-conceptual-learning-bjj,CRITICAL,Aprendizado Conceitual no BJJ | BJJ Wiki,"Aprendizado,Conceitual",BJJ Conceitual,Conceitual,Aprenda Jiu-Jitsu com foco em conceitos. Domine técnicas e estratégias através de uma abordagem mais profunda.,"Aprenda,conceitos,abordagem,profunda"
bjj-conceptual-learning-framework,CRITICAL,Framework Conceitual BJJ | BJJ Wiki,"Framework,Conceitual",Framework de Aprendizado Conceitual BJJ,"Framework,Aprendizado,Conceitual",Acelere sua progressão no BJJ com um framework de aprendizado conceitual. Entenda os princípios por trás das técnicas pa,"Acelere,framework,aprendizado,conceitual,Entenda"
bjj-connection-principles,INFO,Princípios de Conexão | Movimento de Quadril | BJJ App Wiki Brasil,"Movimento,Quadril,Brasil",Domine Esta Técnica,,Master connection principles and hip movement. Learn how to control distance and maintain dominance.,"Master,connection,principles,movement,Learn"
bjj-flexibility-mobility-program,CRITICAL,Programa Flexibilidade e Mobilidade BJJ | BJJ Wiki,"Programa,Flexibilidade,Mobilidade",Programa de Flexibilidade e Mobilidade para BJJ,"Programa,Flexibilidade,Mobilidade","Programa essencial de flexibilidade e mobilidade para atletas de BJJ. Aumente a mobilidade do quadril, ombros e coluna p","Programa,essencial,flexibilidade,mobilidade,atletas"
bjj-gift-wrap-attack,CRITICAL,Gift Wrap Attack | BJJ Wiki,Attack,Ataque Gift Wrap,,"Domine a finalização Gift Wrap no Jiu Jitsu Brasileiro. Aprenda a técnica, posições e dicas para executar com maestria.","Brasileiro,Aprenda,dicas,executar,maestria"
bjj-gift-wrap-attacks,CRITICAL,Ataques Gift Wrap: Guia | BJJ Wiki,Ataques,Ataques Gift Wrap,Ataques,"Aprenda a dominar as transições de Gift Wrap, uma posição de controle poderosa e versátil no Jiu Jitsu Brasileiro para n","Aprenda,dominar,controle,poderosa,Brasileiro"
bjj-imanari-roll-guide,CRITICAL,Entrada Imanari Roll | BJJ Wiki,"Entrada,Imanari",Entrada Imanari Roll,"Entrada,Imanari",Aprenda a entrada Imanari Roll para transição para a guarda ou para finalizar com chave de pé.,"Aprenda,entrada,Imanari,finalizar,chave"
bjj-kimura-details-bjj,CRITICAL,Kimura Completa | BJJ Wiki,,Kimura: Detalhes Completos,"Detalhes,Completos",Mecânica e armação completas da finalização Kimura. Aprenda a executar a Kimura no jiu-jitsu brasileiro.,"completas,Aprenda,executar,brasileiro"
bjj-kuzushi-bjj,CRITICAL,Kuzushi BJJ | BJJ Wiki,Kuzushi,Guia Kuzushi BJJ,Kuzushi,Domine as técnicas de kuzushi no BJJ. Aprenda a desequilibrar seu oponente para criar oportunidades de ataque e finaliza,"kuzushi,Aprenda,desequilibrar,oponente,criar"
bjj-leg-drag-passing,CRITICAL,Leg Drag Pass | BJJ App Wiki Brasil,Brasil,🌊 Leg Drag: Sistema Moderno de Passagem,"Sistema,Moderno","Domine o leg drag no BJJ. Aprenda a montagem, controle e finalização de um dos sistemas de passagem de guarda mais popul","Aprenda,montagem,controle,sistemas,populares"
bjj-leg-weave-pass,INFO,"Passagem ""Leg Weave"" | BJJ Wiki",Weave,"Técnica de ""Leg Weave Pass""",Weave,Aprenda a ,Aprenda
bjj-match-review-guide,INFO,Guia de Revisão e Análise de Luta,,Guia de Revisão e Análise de Luta,,Aprenda a revisar e analisar lutas sistematicamente.,"Aprenda,revisar,analisar,lutas,sistematicamente"
bjj-offense-first-bjj,CRITICAL,BJJ Ofensivo | BJJ Wiki,Ofensivo,BJJ com Prioridade Ofensiva,"Prioridade,Ofensiva","Uma abordagem estratégica no BJJ que foca em criar e manter sequências de ataque, buscando finalizações.","abordagem,criar,manter,buscando"
bjj-outside-ashi-garami,CRITICAL,Ashi Garami Externa | BJJ Wiki,"Garami,Externa",Ashi Garami Externa,"Garami,Externa",Posição de leg lock Ashi Garami externa. Aprenda esta técnica fundamental de BJJ para controlar e finalizar seus oponent,"Garami,externa,Aprenda,controlar,finalizar"
bjj-over-under-pass-details,INFO,Over-Under Pass: Breakdown Completo,"Under,Breakdown,Completo",Over-Under Pass: Breakdown Completo,"Under,Breakdown,Completo",Aprenda over-under pass.,"Aprenda,under"
bjj-overtime-strategy-bjj,INFO,Estratégia de Overtime | EBI & IBJJF | BJJ App Wiki Brasil,"Overtime,Brasil",Domine Esta Técnica,,Learn overtime and sudden death strategies. Master EBI rules and submission-only matches.,"Learn,overtime,sudden,death,strategies"
bjj-passing-dlr-guard,INFO,Passing De La Riva Guard | BJJ App Wiki Brasil,"Passing,Guard,Brasil",Passing De La Riva Guard,"Passing,Guard","DLR passing methods including backstep, pressure, and counter-DLR systems","passing,methods,including,backstep,pressure"
bjj-points-strategy-guide,INFO,Guia Points Strategy | Sistema de Pontuação | BJJ App Wiki Brasil,"Points,Strategy,Sistema,Brasil",Domine Esta Técnica,,Learn points strategy in BJJ competition. Master scoring techniques and positional advantages.,"Learn,points,strategy,competition,Master"
bjj-pressure-fundamentals,INFO,Fundamentos de Pressão | Mecânica Principal | BJJ App Wiki Brasil,"Fundamentos,Principal,Brasil",Domine Esta Técnica,,Learn pressure passing and control fundamentals. Master weight distribution and body mechanics.,"Learn,pressure,passing,control,fundamentals"
bjj-proactive-bjj,CRITICAL,BJJ Proativo | BJJ Wiki,Proativo,Abordagem Proativa no BJJ,"Abordagem,Proativa",Mentalidade de grappling proativa em vez de reativa,"Mentalidade,grappling,proativa,reativa"
bjj-reverse-kesa-gatame,CRITICAL,Kesa Gatame Reverso | BJJ Wiki,"Gatame,Reverso",Kesa Gatame Reverso,"Gatame,Reverso","Kesa gatame reverso no BJJ: controle lateral, distribuição de peso, kimura, armbar e como escapar.","gatame,reverso,controle,lateral,escapar"
bjj-rickson-gracie-philosophy,CRITICAL,Filosofia Rickson Gracie | BJJ Wiki,"Filosofia,Rickson",Filosofia Rickson Gracie,"Filosofia,Rickson","Descubra a filosofia de Rickson Gracie: ciência respiratória, domínio mental e maestria total da posição para aprimorar ","Descubra,filosofia,Rickson,mental,maestria"
bjj-single-leg-x-entries,CRITICAL,Entradas Single Leg X | BJJ Wiki,"Entradas,Single",Entradas Single Leg X,"Entradas,Single",Entre na Single Leg X-guard de várias posições para sistemas avançados de raspagem e ataque às pernas.,"Entre,Single,guard,sistemas,raspagem"
bjj-smash-passing-guide,CRITICAL,Guia Smash Pass | BJJ Wiki,Smash,Smash Pass,Smash,Execute smash passes que achatam a guarda e criam pressão imparável.,"Execute,smash,passes,achatam,criam"
bjj-stalling-rules-bjj,INFO,Regras de Stalling no BJJ | IBJJF | BJJ App Wiki Brasil,"Regras,Stalling,Brasil",Domine Esta Técnica,,Learn stalling rules in IBJJF competition. Master legal vs illegal stalling techniques.,"Learn,stalling,rules,competition,Master"
bjj-strangle-from-back,INFO,Strangle from Back | Variações de Choke | BJJ App Wiki Brasil,"Strangle,Choke,Brasil",Domine Esta Técnica,,"Master strangle variations from back position. Learn RNC, collar chokes, and lapel strangles.","Master,strangle,variations,position,Learn"
bjj-technical-sweep-guide,INFO,Guia de Varredura Técnica no BJJ,Varredura,Guia de Varredura Técnica no BJJ,Varredura,Aprenda varreduras precisas que funcionam contra oponentes maiores.,"Aprenda,varreduras,precisas,funcionam,contra"
bjj-weight-distribution-guide,INFO,Guia Weight Distribution | Controle de Cima | BJJ App Wiki Brasil,"Weight,Distribution,Controle,Brasil",Domine Esta Técnica,,Learn weight distribution for maximum control. Master pressure application and balance maintenance.,"Learn,weight,distribution,maximum,control"
bjj-winning-mindset-guide,CRITICAL,Mentalidade Vencedora | BJJ Wiki,"Mentalidade,Vencedora",Mentalidade Vencedora,"Mentalidade,Vencedora",Desenvolva uma mentalidade vencedora e vantagem psicológica para dominar adversários em competições.,"Desenvolva,mentalidade,vencedora,vantagem,dominar"
